word	count	input	prefixOutputs	riKarLeak
প্রচারিত	403	procharit	প|প্র|প্রো|প্রচ-|প্রচ-|পরচা|প্রচার|প্রচারি|প্রচারিত	false
বৃত্তান্ত	397	brrittant	ব|বড়র|বর|ব্র্রি|বৃত|বৃত্ত|বৃতটা|বৃত্তান্ত|বৃত্তান্ত	false
আবৃত	394	abrrit	আ|আব|আবর|আব্র|আব্র্রি|আবৃত	false
পত্রিকার	390	potrikar	প|পো|পট|পত্র|পত্রী|পত্রিক|পত্রিকা|পত্রিকার	false
খ্রিস্টাব্দ	389	khristabd	ক|খ|খর|খ্রি|খ্রিস|খ্রিষ্ট|খ্রিষ্টা|খ্রিস্তাব|খ্রিষ্টাব্দ	false
বক্তৃতা	388	boktrrita	ব|বো|বক|ব্যক্ত|বক্ত্র|বক্ত্র|বক্ত্র্রি|বক্তৃতা|বক্তৃতা	false
সমাজতান্ত্রিক	386	somajotantrik	সঃ|সো|সময়|সোমা|সমাজ|সমাজ|সমাজত|সমাজটা|সমাজতান|সমাজতান্ত|সমাজতান্ত্রিক|সমাজতান্ত্রিক|সমাজতান্ত্রিক	false
কৃত	385	krrit	ক|ক্রয়|ক্রয়র|ক্র্রি|কৃত	false
প্রভৃতির	384	probhrritir	প|প্র|প্রো|প্রোব|প্রভ|প্রভ্র|প্রভ্র|প্রভাকরের|প্রভ্র্রিত|প্রভৃতি|প্রভৃতির	false
দৃশ্যমান	382	drrishyoman	দ|ড্র|ড্রর|দ্র্রি|দৃশ্য|দৃশ্য|দৃশ্য|দৃশ্য|দ্র্রিশ্যম|দ্র্রিশ্যমা|দৃশ্যমান	false
প্রিমিয়ার	381	primiyar	প|প্র|প্রিয়|প্রিম|প্রিমি|প্রিমিয়|পৃতিকা|প্রিমিয়ার	true
ভরিয়া	378	bhoriya	ব|ভ|ভয়ও|ভর|ভরি|ভরিয়|ভরিয়া	false
পরিবেশন	375	poribeshon	প|পো|পর|পড়ি|পরিব|পরিবে|পরিবেশ|পরিবেশ|পরিবেশ|পরিবেশন	false
লাইব্রেরি	375	laibreri	ল|লা|লড়াই|লড়াইব|লাইবর|লাইব্রেরি|লাইব্রেরি|লাইব্রেরি	false
রিয়াল	374	riyal	র|রি|ঋয়|রিয়া|রিয়াল	false
রিদয়	374	ridoy	র|রি|রিড|রিদয়|রিদয়	false
রিপোর্ট	373	riport	র|রি|রিপ|রিপো|রিপর|রিপোর্ট	false
চিত্রিত	371	chitrit	ছ|চ|ছি|চিট|চিত্র|চিত্রী|চিত্রিত	false
নিয়ন্ত্রিত	369	niyontrit	ন|নি|নিয়|নিয়ো|নিয়ন|নিজন্ত|নিয়ন্ত্র|নিয়ন্ত্রী|নিয়ন্ত্রিত	false
পরিবারে	367	poribare	প|পো|পর|পড়ি|পরিব|পরিবা|পরিবার|পরিবারে	false
পারিবারিক	365	paribarik	প|পা|পর|পারি|পারিব|পারিবা|পরিবার|পরিবারি|পারিবারিক	false
কর্তৃত্ব	364	kortrritb	ক|কো|কর|কোর্ট|কোর্টর|কোর্ট্র|কর্তৃ|কর্তৃত|কর্তৃত্ব	false
করিম	362	korim	ক|কো|কর|করি|করিম	false
করিতেছিল	357	koritechhil	ক|কো|কর|করি|করিত|করিতে|করিতেছ|করিতেছ|করিতেছ|করিতেছি|করিতেছিল	false
হরিণ	355	horin	হ|হো|হর|হরি|হরিণ	false
ভরি	354	bhori	ব|ভ|ভয়ও|ভর|ভরি	false
সদৃশ	352	sodrrish	সঃ|সো|সদ্য|সদর|সদ্র|সদৃশ|সদৃশ|সদৃশ	false
পরিধান	347	poridhan	প|পো|পর|পড়ি|পরিদ|পৃথক|পরিধা|পরিধান	true
সিরিজের	346	sirijer	সঃ|সিই|সির|সিরি|সিরিজ|সিরিজে|সিরিজের	false
বৃত্তি	346	brritti	ব|বড়র|বর|ব্র্রি|বৃত|বৃত্ত|বৃত্তি	false
সংখ্যাগরিষ্ঠ	344	songkhyagorishth	সঃ|সো|সন|সং|শঙ্ক|শঙ্খ|সংখ্য|সংখ্যা|সংখ্যাগ|সংখ্যাগ|সংখ্যাগর|সংখ্যাগরি|সংখ্যাগরিস|সংখ্যাগরিশ|সংখ্যাগরিষ্ট|সংখ্যাগরিষ্ঠ	false
খ্রিষ্টাব্দ	343	khrishtabd	ক|খ|খর|খ্রি|খ্রিস|খ্রীষ্ট|খ্রিষ্ট|খ্রিষ্টা|খ্রিশ্তাব|খ্রিষ্টাব্দ	false
করিতেছিলেন	343	koritechhilen	ক|কো|কর|করি|করিত|করিতে|করিতেছ|করিতেছ|করিতেছ|করিতেছি|করিতেছিল|করিতেছিলে|করিতেছিলেন	false
ঘুরিয়া	341	ghuriya	গ|ঘ|ঘুড়|ঘর|ঘুড়ি|ঘুড়িয়|ঘুরিয়া	false
কোরিয়া	340	koriya	ক|কো|কর|করি|কোরীয়|কোরিয়া	false
অদৃশ্য	339	odrrishy	ও|অড|ওড্র|অড্র|অদ্র্রি|অদৃশ্য|অদৃশ্য|অদৃশ্য	false
পরিত্রাণ	335	poritran	প|পো|পর|পড়ি|পড়িত|পৃথকত্ব|পড়িতরা|পরিত্রাণ	true
আকৃষ্ট	334	akrrisht	আ|এক|একর|আক্র্র|আক্র্রি|আক্র্রিস|আকৃষ্ট|আকৃষ্ট	false
মারি	333	mari	ম|মা|মার|মারি	false
প্রকৃতপক্ষে	332	prokrritopokkhe	প|প্র|প্রো|প্রক|প্রকর|প্রকর|প্রকৃত|প্রকৃত|প্রকৃত|প্রক্র্রিতপ|প্রকৃতপক্ষে|প্রকৃতপক্ষে|প্রকৃতপক্ষে|প্রকৃতপক্ষ|প্রকৃতপক্ষে	false
খ্রিস্টধর্ম	328	khristodhorm	ক|খ|খর|খ্রি|খ্রিস|খ্রিষ্ট|খ্রিষ্ট|খ্রিস্তদ|খ্রিস্টধর্ম|খ্রিস্টধর্ম|খ্রিস্টধর্ম|খ্রিষ্টধর্ম	false
অস্ট্রিয়া	327	ostriya	ও|অশ্ব|অষ্ট|অস্ত্র|অস্ত্রী|অস্ট্রীয়|অস্ট্রিয়া	false
পরিশ্রম	324	porishrom	প|পো|পর|পড়ি|পরিস|পরিস|পরিসর|পরিশ্র|পরিশ্রম	false
গিরি	324	giri	গ|গি|গির|গিরি	false
ব্রিটেন	323	briten	ব|বড়র|ব্রি|বৃত্ত|বৃত্তে|ব্রিটেন	true
পরিচালনার	321	porichalonar	প|পো|পর|পড়ি|পড়িছ|পরিচয়|পরিচয়া|পরিচাল|পরিচাল|পরিচালন|পরিচালনা|পরিচালনার	false
পারিলেন	321	parilen	প|পা|পর|পারি|পারিল|পারিলে|পারিলেন	false
শৃঙ্গ	319	shrringo	সঃ|শ|শ্রয়|শ্র|শ্র্রি|শ্রকৃষ্ণ|shrring|শৃঙ্গ	false
পরিশেষে	319	porisheshe	প|পো|পর|পড়ি|পরিস|পরিস|পরিশে|পরিশেষ|পরিশেষ|পরিশেষে	false
আকৃতির	318	akrritir	আ|এক|একর|আক্র্র|আক্র্রি|অকৃত|আকৃতি|আকৃতির	false
চরিত্রের	317	choritrer	ছ|চ|চো|চর|চড়ি|চরিত|চরিত্র|চরিত্রে|চরিত্রের	false
মাদ্রিদ	316	madrid	ম|মা|মাড|মাডর|মাদ্রি|মাদ্রিদ	false
উদ্ধৃত	316	uddhrrit	উ|উদয়|উদয়|উদ্ধ|উদ্ধ্র|উদ্ধ্র্র|উদ্ধৃত|উদ্ধৃত	false
বৃক্ষের	309	brrikkher	ব|বড়র|বর|ব্র্রি|বৃক|বৃক্ক|বৃক্ষ|বৃক্ষে|বৃক্ষের	false
ঘৃণা	308	ghrrina	গ|ঘ|ঘর|ঘ্র|ঘ্র্রি|ঘৃণ্য|ঘৃণা	false
মরিয়া	308	moriya	ম|মো|মোড়|মরি|মোরিয়|মরিয়া	false
রামকৃষ্ণ	306	ramokrrishn	র|রা|রাম|রামা|রামক|রামক্র|রামক্র্র|রামকৃষ্ণ|রামকৃষ্ণ|রামকৃষ্ণ|রামকৃষ্ণ	false
আমেরিকায়	302	amerikay	আ|আম|আমে|আমের|আমেরি|আমেরিক|আমেরিকা|আমেরিকায়	false
রিসার্চ	300	risarch	র|রি|রিস|রিসা|রিসার|রিসার্চ|রিসার্চ	false
পারিত	300	parit	প|পা|পর|পারি|পারিত	false
তৃতীয়াংশ	299	trritiiyangsh	ত|ত্রয়|ট্রয়র|ত্র্রি|ট্রিট|তৃতীয়|তৃতীয়|তৃতীয়|তৃতীয়া|তৃতীয|তৃতীয়াং|তৃতীয়াংশ|তৃতীয়াংশ	false
ত্রিশ	298	trish	ত|ত্রয়|ট্রি|ত্রিশ|ত্রিশ	false
ব্যাকটেরিয়া	296	byakoteriya	ব|ব্য|ব্যা|ব্যাক|ব্যাক|ব্যাংককোত|ব্যাকতে|ব্যাকতের|ব্যাংককে|ব্যাকতেরিয়|ব্যাকটেরিয়া	false
করির	296	korir	ক|কো|কর|করি|কড়ির	false
পারিবে	295	paribe	প|পা|পর|পারি|পারিব|পারবে	false
পরিচ্ছেদ	294	porichched	প|পো|পর|পড়ি|পড়িছ|পরিচয়|পৃচ্ছা|পরিচ্চ|পরিচয়ছে|পরিচ্ছেদ	true
সুপ্রিম	292	suprim	সঃ|সু|সুপ|সুপ্র|সুপ্রি|সুপ্রিম	false
স্বাক্ষরিত	291	swakkhorit	সঃ|স্ব|স্বা|সওয়াক|সওয়াক্ক|স্বাক্ষ্য|স্বাক্ষ্য|স্বাক্ষর|স্বাক্ষরিত|স্বাক্ষরিত	false
করিয়ে	289	koriye	ক|কো|কর|করি|কোরীয়|করিয়ে	false
সংগৃহীত	288	songgrrihiit	সঃ|সো|সন|সং|সং|সংগ্রহ|সংগ্রহ|সংগৃহীত|সংগৃহ|সংগৃহ|সংগৃহ|সংগৃহীত	false
ভ্রাতৃগণ	287	bhratrrigon	ব|ভ|ভর|ভরা|ভ্রাত|ভ্রাত্র|ভ্রাত্র|ভ্রাতৃ|ভ্রাতৃগণ|ভ্রাতৃগণ|ভ্রাতৃগণ	false
খ্রিস্টাব্দের	284	khristabder	ক|খ|খর|খ্রি|খ্রিস|খ্রিষ্ট|খ্রিষ্টা|খ্রিস্তাব|খ্রিষ্টাব্দ|খ্রিস্টাব্দে|খ্রিষ্টাব্দের	false
সুপরিচিত	284	suporichit	সঃ|সু|সুপ|সুপ|সুপর|সুপরি|সুপরিচিত|সুপরিচিত|সুপরিচিত|সুপরিচিত	false
রিপাবলিকান	282	ripabolikan	র|রি|রিপ|রিপা|রিপাব|রিপাবো|রিপাবল|রিপাবলি|রিপাবলিক|রিপাবলিকা|রিপাবলিকান	false
দৃষ্টিপাত	281	drrishtipat	দ|ড্র|ড্রর|দ্র্রি|দৃশ্য|দৃশ্য|দৃষ্ট|দৃষ্টি|দৃষ্টিপাত|দৃষ্টিপাত|দৃষ্টিপাত	false
দেরি	273	deri	দ|দেয়|দেড়|দেরি	false
ব্রিজ	272	brij	ব|বড়র|ব্রি|ব্রিজ	false
বারি	272	bari	ব|বা|বার|বাড়ি	false
ধরিল	269	dhoril	দ|ঢ|ধোয়|ধর|ধরি|ধরিল	false
পরিস্থিতি	268	poristhiti	প|পো|পর|পড়ি|পরিস|পৃষ্ট|পরিস্থ|পৃথি|পরিস্থিত|পরিস্থিতি	true
ফ্রি	267	fri	ফ|ফর|ফ্রি	false
করিতাম	265	koritam	ক|কো|কর|করি|করিত|করিতা|করিতাম	false
করিয়াছিলাম	265	koriyachhilam	ক|কো|কর|করি|কোরীয়|কোরিয়া|করিয়াছ|করিয়াছ|করিয়াছ|করিয়াছি|করিয়াছিল|করিয়াছিল|করিয়াছিলাম	false
প্রক্রিয়ার	264	prokriyar	প|প্র|প্রো|প্রক|প্রকর|প্রকৃত|প্রক্রিয়|প্রক্রিয়া|প্রক্রিয়ার	true
পরিবেশে	263	poribeshe	প|পো|পর|পড়ি|পরিব|পরিবে|পরিবেশ|পরিবেশ|পরিবেশে	false
পরিত্যক্ত	262	porityokt	প|পো|পর|পড়ি|পড়িত|পৃথকত্ব|পরিত্য|পৃতিকা|পরিত্যক্ত	true
প্রিয়ে	260	priye	প|প্র|প্রিয়|প্রিয়|প্রিয়ে	false
দৃষ্টান্ত	259	drrishtant	দ|ড্র|ড্রর|দ্র্রি|দৃশ্য|দৃশ্য|দৃষ্ট|দৃষ্টা|দৃষ্টান্ত|দৃষ্টান্ত	false
বিক্রিয়া	255	bikriya	ব|বি|বিক|বিক্র|বিক্রি|বিক্রিয়|বিক্রিয়া	false
সামগ্রিক	255	samogrik	সঃ|সা|সাম|শামো|সামগ|সামগ্র্য|সামগ্রী|সামগ্রিক	false
করিলা	255	korila	ক|কো|কর|করি|করিল|করিলা	false
মাতৃভাষা	254	matrribhasha	ম|মা|মাত|মাত্র|মাত্রর|মাতৃ|মাতৃবত|মাতৃভাষা|মাতৃভাষা|মাতৃভাষাসহ|মাতৃভাষা|মাতৃভাষা	false
বিকৃত	253	bikrrit	ব|বি|বিক|বিক্র|বিক্র|বিক্র্রি|বিকৃত	false
ব্রিটিশদের	251	britishoder	ব|বড়র|ব্রি|বৃত্ত|বৃত্তি|ব্রিটিশ|ব্রিটিশ|ব্রিটিশ|ব্রিতিশদ|ব্রিতিশদে|ব্রিটিশদের	true
পুরোপুরি	251	puropuri	প|পুড়|পুর|পুরো|পুরপ|পুরপুরি|পুরপুরি|পুরোপুরি	false
সংস্কৃতিতে	250	songskrritite	সঃ|সো|সন|সং|সংস|সংস্করণ|সংস্ক্র|সংস্ক্রিয়া|সংস্কৃত|সংস্কৃত|সংস্কৃতি|সংস্কৃতিতে|সংস্কৃতিতে	false
জরিপ	250	jorip	জ|জো|জোর|জরি|জরিপ	false
সরিয়া	250	soriya	সঃ|সো|সর|সরি|সরিয়|শরিয়া	false
পৈতৃক	248	poitrrik	প|পো|পয়|পইত্য|পৈত্র|পৈত্র|পৈত্র্রি|পৈতৃক	false
প্রক্রিয়ায়	247	prokriyay	প|প্র|প্রো|প্রক|প্রকর|প্রকৃত|প্রক্রিয়|প্রক্রিয়া|প্রক্রিয়ায়	true
কৃপা	247	krripa	ক|ক্রয়|ক্রয়র|ক্র্রি|কৃপ|কৃপা	false
করিয়াই	247	koriyai	ক|কো|কর|করি|কোরীয়|কোরিয়া|কোরিয়াই	false
গৃহযুদ্ধ	243	grrihozuddh	গ|গড়র|গর|গ্র্রি|গৃহ|গৃহ|গৃহজ|গ্র্রিহজু|গৃহযুদ্ধ|গৃহযুদ্ধ|গৃহযুদ্ধ	false
রাত্রিতে	243	ratrite	র|রা|রাত|রাত্র|রাত্রি|রাত্রিত|রাত্রিতে	false
পরিবে	243	poribe	প|পো|পর|পড়ি|পরিব|পরিবে	false
দাপ্তরিক	242	daptorik	দ|দা|দাপ|দাপট|দাপ্ত|দাপ্তরিক|দাপ্তরিক|দাপ্তরিক	false
ধরিতে	242	dhorite	দ|ঢ|ধোয়|ধর|ধরি|ধরিত|ধরিতে	false
ব্রিটেনের	241	britener	ব|বড়র|ব্রি|বৃত্ত|বৃত্তে|ব্রিটেন|ব্রিটেনে|ব্রিটেনের	true
ত্রিভুজের	239	tribhujer	ত|ত্রয়|ট্রি|ত্রিব|ত্রিভ|তৃণভূমি|ত্রিভুজ|ত্রিভুজে|ত্রিভুজের	true
জরুরি	239	joruri	জ|জো|জোর|জরু|জড়ুর|জরুরী	false
মাঝারি	239	majhari	ম|মা|মাজ|মাঝ|মাঝা|মাঝার|মাঝারি	false
মেরি	238	meri	ম|মে|মেয়র|মেরি	false
বৃন্দাবন	236	brrindabon	ব|বড়র|বর|ব্র্রি|ব্রিন|বৃন্দ|বৃন্দা|ব্র্রিন্দাব|বৃন্দাবো|বৃন্দাবন	false
নেতৃত্বাধীন	235	netrritbadhiin	ন|নে|নেট|নেত্র|নেট্র|নেত্র্রি|নেতৃত্ব|নেতৃত্ব|নেতৃত্ব|নেত্র্রিত্বাদ|নেতৃত্বাধীন|নেতৃত্বাধীন|নেতৃত্বাধীন|নেতৃত্বাধীন	false
ক্রিয়ার	235	kriyar	ক|ক্রয়|ক্রি|ক্রিয়|ক্রিয়া|ক্রিয়ার	false
কারিগরি	234	karigori	ক|কা|কার|কারী|কারিগ|কারিগ|কারিগর|কারিগরি	false
বৃষ্টির	234	brrishtir	ব|বড়র|বর|ব্র্রি|বৃষ|বৃষ|বৃষ্টি|বৃষ্টি|বৃষ্টির	false
কেমব্রিজ	233	kemobrij	ক|কে|কেম|কেমো|কেমব|কেমব্রিজ|কেমব্রিজ|কেমব্রিজ	false
বৃহস্পতি	233	brrihospoti	ব|বড়র|বর|ব্র্রি|বৃহ|বৃহ|ব্র্রিহস|বৃহস্প|বৃহস্প|বৃহস্পতি|বৃহস্পতি	false
পরিমিত	232	porimit	প|পো|পর|পড়ি|পরিম|পরিমি|পরিমিত	false
পারিব	229	parib	প|পা|পর|পারি|পারিব	false
জানুয়ারিতে	228	januyarite	জ|জা|জান|জানু|জানুয়|জানুযারি|জানুযারি|জানুয়ারি|জানুযারি|জানুয়ারিতে	false
আফ্রিকায়	228	afrikay	আ|আফ|আফর|আফ্রি|আফ্রিক|আফ্রিকা|আফ্রিকায়	false
প্রতিকৃতি	228	protikrriti	প|প্র|প্রো|প্রতয়|প্রতি|প্রতীক|প্রতীকর|প্রতীক্র|প্রতিকৃত|প্রতিকৃত|প্রতিকৃতি	false
তৃণ	228	trrin	ত|ত্রয়|ট্রয়র|ত্র্রি|তৃণ	false
পারিয়া	228	pariya	প|পা|পর|পারি|পারিয়|পাড়িয়া	false
ভিক্টোরিয়া	227	bhiktoriya	ব|ভ|ভি|ভিক|ভিক্ত|ভিক্ত|ভিক্টর|ভিক্টরি|ভিক্টোরীয়|ভিক্টোরিয়া	false
পরি	227	pori	প|পো|পর|পড়ি	false
হাঙ্গেরি	226	hangoeri	হ|হা|হাঁ|হাঙ|হাঁগো|হাঙএ|হাঙ্গেরি|হাঙ্গেরি	false
সিরিয়া	225	siriya	সঃ|সিই|সির|সিরি|সিরীয়|সিরিয়া	false
পারস্পরিক	223	parosporik	প|পা|পর|পারো|পারস্য|পারস্পরিক|পারস্প|পারস্পর্য|পারস্পরিক|পারস্পরিক	false
দারিদ্র্য	222	daridry	দ|দা|দার|দাড়ি|দারিদ্য|দারিদ্র|দারিদ্র্য	false
পৃষ্ঠ	221	prrishth	প|প্র|প্রর|প্র্রি|প্র্রিস|পৃষ্ঠ|পৃষ্ট|পৃষ্ঠ	false
ক্ষত্রিয়	221	kkhotriy	ক|কড়ক|ক্ষ|ক্ষ|ক্ষত|ক্ষত্র|ক্ষত্রী|ক্ষত্রিয়	false
পারিলে	221	parile	প|পা|পর|পারি|পারিল|পারিলে	false
ফেব্রুয়ারিতে	220	phebruyarite	প|ফ|ফড়ে|ফেব|ফেব্র|ফেব্রু|ফেব্রুয়ারি|ফেব্রুয়া|ফেব্রুয়ার|ফেব্রুয়ারি|ফেব্রুয়ারিতে|ফেব্রুয়ারিতে	false
কৃষ্ণবর্ণ	220	krrishnoborn	ক|ক্রয়|ক্রয়র|ক্র্রি|কৃষ|কৃষ|কৃষ্ণ|কৃষ্ণ|কৃষ্ণবর্ণ|ক্র্রিশ্নব|কৃষ্ণবরণ|কৃষ্ণবর্ণ	false
মৃত্তিকা	218	mrrittika	ম|ময়র|মর|ম্র্রি|মৃত|মৃত্তিকা|মৃত্তিকা|মৃত্তিকা|মৃত্তিকা	false
নারিকেল	218	narikel	ন|না|নার|নারী|নারিক|নারীকে|নারিকেল	false
পরিভাষা	216	poribhasha	প|পো|পর|পড়ি|পরিব|পরিভ|পরিভা|পৃথকভাবে|পৃথকভাবে|পরিভাষা	true
কৃতিত্ব	216	krrititb	ক|ক্রয়|ক্রয়র|ক্র্রি|কৃত|কৃতি|ক্র্রিতিত|কৃতিত্ব	false
পরিশোধ	216	porishodh	প|পো|পর|পড়ি|পরিস|পরিস|পরিশ|পরিষদ|পরিশোধ	false
উচ্চারিত	215	uccarit	উ|উচ্চ|উচ্চ|উচ্চ|উচ্চার|উচ্চারি|উচ্চারিত	false
পরিদর্শন	213	poridorshon	প|পো|পর|পড়ি|পরিদ|পরিদ|পরিদর|পরিদর্স|পরিদর্শ|পরিদর্শ|পরিদর্শন	false
পরিলক্ষিত	213	porilokkhit	প|পো|পর|পড়ি|পড়িল|পড়িল|পরিলক|পৃথক্করণ|পৃক্ত|পৃক্তি|পরিলক্ষিত	true
যান্ত্রিক	212	zantrik	য|যায়|যান|জ্যান্ত|জান্ত্র|যান্ত্রিক|যান্ত্রিক	false
পরিণাম	212	porinam	প|পো|পর|পড়ি|পরিণয়|পরিনা|পরিণাম	false
মৃত্যুদণ্ড	210	mrrityudond	ম|ময়র|মর|ম্র্রি|মৃত|মৃত্য|মৃত্যু|মৃত্যুদণ্ড|মৃত্যুদণ্ড|মৃত্যুদণ্ড|মৃত্যুদণ্ড	false
স্মৃতিসৌধ	209	smrritisoudh	সঃ|সম|স্মর|স্মর|স্ম্র্রি|স্মৃত|স্মৃতি|স্ম্র্রিতিস|স্ম্র্রিতিস|স্মৃতিসৌধ|স্মৃতিসৌধ|স্মৃতিসৌধ	false
করিলেও	208	korileo	ক|কো|কর|করি|করিল|করিলে|করিলেও	false
সুপারিশ	207	suparish	সঃ|সু|সুপ|সুপা|সুপার|সুপারি|সুপারিশ|সুপারিশ	false
পরিগণিত	207	porigonit	প|পো|পর|পড়ি|পরিগ|পৃথগন্ন|পৃথগন্ন|পৃথগন্ন|পরিগণিত	true
তাদৃশ	205	tadrrish	ত|তা|টাদ|তাদ্র|টাদ্র|তাদৃশ|তাদৃশ|তাদৃশ	false
ব্রিটিশরা	203	britishora	ব|বড়র|ব্রি|বৃত্ত|বৃত্তি|ব্রিটিশ|ব্রিটিশ|ব্রিটিশ|ব্রিটিশর|ব্রিটিশরা	true
নিষ্ক্রিয়	203	nishkriy	ন|নি|নিঃস্ব|নিস|নিষ্ক|নিষ্কর|নিশ্ক্রি|নিষ্ক্রিয়	false
সর্ববৃহৎ	202	sorbobrrihot	সঃ|সো|সর|সর্ব|সর্ব|সর্বব|সর্বব্র|সর্বব্র্র|সর্ববৃহৎ|সর্ববৃহৎ|সর্ববৃহৎ|সর্ববৃহৎ	false
মেমোরিয়াল	201	memoriyal	ম|মে|মেম|মেমো|মেমোর|মেমরি|মেমরিয়|মেমরি|মেমোরিয়াল	false
নিভৃত	201	nibhrrit	ন|নি|নিব|নিভ|নিবহ্র|নিভ্র|নিভ্র্রি|নিভৃত	false
ক্যারিয়ার	200	kyariyar	ক|ক্য|ক্যা|ক্যার|ক্যারি|ক্যারিয়|ক্যারিয়া|ক্যারিয়ার	false
গ্রিস	200	gris	গ|গড়র|গড়ি|গ্রিস	false
অধিকৃত	200	odhikrrit	ও|অড|অধ|অধি|অধিক|অধিকর|অধিক্র|অধিকৃত|অধিকৃত	false
পরিয়া	200	poriya	প|পো|পর|পড়ি|পড়িয়|পড়িয়া	false
স্ট্রিং	198	string	সঃ|স্ট্রিট|স্ট্র|স্ত্রী|স্ত্রিন|স্ট্রিং	false
নাগরিকত্ব	198	nagorikotb	ন|না|নাগ|নাগা|নাগর|নাগরি|নাগরিক|নাগরিক|নাগরিকত|নাগরিকত্ব	false
পৃষ্ঠে	198	prrishthe	প|প্র|প্রর|প্র্রি|প্র্রিস|পৃষ্ঠ|পৃষ্ট|পৃষ্ঠ|পৃষ্ঠে	false
প্রবৃত্তি	198	probrritti	প|প্র|প্রো|প্রোব|প্রোবর|প্রোব্র|প্রব্র্রি|প্রবৃত্ত|প্রবৃত্ত|প্রবৃত্তি	false
মৃতদেহ	197	mrritodeh	ম|ময়র|মর|ম্র্রি|মৃত|মৃত|মৃতদেহ|মৃতদেহ|মৃতদেহ	false
নৃপতি	197	nrripoti	ন|নর|নর|নৃ|নৃপ|নৃপ|নৃপতি|নৃপতি	false
তেজস্ক্রিয়	195	tejoskriy	ত|তে|তেজ|তেজা|তেজস|তেজস্কর|তেজস্ক্র|তেজস্ক্রিয়|তেজস্ক্রিয়	false
প্রাকৃত	195	prakrrit	প|প্র|প্রায়|প্রাক|প্রাকর|প্রাক্র|প্রাকৃত|প্রাকৃত	false
পারিতেন	194	pariten	প|পা|পর|পারি|পারিত|পারিতে|পারিতেন	false
পরিবেশগত	193	poribeshogot	প|পো|পর|পড়ি|পরিব|পরিবে|পরিবেশ|পরিবেশ|পরিবেশ|পরিবেশগ|পরিবেশগ|পরিবেশগত	false
ক্যারিবীয়	193	kyaribiiy	ক|ক্য|ক্যা|ক্যার|ক্যারি|ক্যাংবিং|ক্যাংবিং|ক্যাংবিং|ক্যারিবীয়	false
পরিচালনায়	193	porichalonay	প|পো|পর|পড়ি|পড়িছ|পরিচয়|পরিচয়া|পরিচাল|পরিচাল|পরিচালন|পরিচালনা|পরিচালনায়	false
অপরিচিত	193	oporichit	ও|অপ|অপ|ওপর|ওপরি|ওপরিছ|অপকারী|ওপরিচি|অপরিচিত	false
ব্যবহারিক	191	byoboharik	ব|ব্য|ব্য|ব্যব|ব্যব|ব্যবহার|ব্যবহার|ব্যবহার|ব্যবহারী|ব্যবহারিক	false
শৃঙ্খলা	191	shrringkhola	সঃ|শ|শ্রয়|শ্র|শ্র্রি|শ্রকৃষ্ণ|shrring|শ্রকৃষ্ণ|শ্রকৃষ্ণ|শ্র্রিংখ|শৃঙ্খল|শৃঙ্খলা	false
বিস্তৃতি	190	bistrriti	ব|বি|বিশ্ব|বিস্ট|বিস্টর|বিস্ট্র|বিস্ত্রোর|বিস্তৃত|বিস্তৃতি	false
ত্রিভুজ	189	tribhuj	ত|ত্রয়|ট্রি|ত্রিব|ত্রিভ|তৃণভূমি|ত্রিভুজ	true
নিবৃত্ত	189	nibrritt	ন|নি|নিব|নিবর|নিব্র|নিবৃত|নিবৃত|নিবৃত্ত	false
পৃষ্ঠের	188	prrishther	প|প্র|প্রর|প্র্রি|প্র্রিস|পৃষ্ঠ|পৃষ্ট|পৃষ্ঠ|পৃষ্ঠে|পৃষ্ঠের	false
পরিকল্পিত	187	porikolpit	প|পো|পর|পড়ি|পরিক|পৃথক|পৃথক|পরিকল্প|পরিকল্পি|পরিকল্পিত	true
বৃত্ত	187	brritt	ব|বড়র|বর|ব্র্রি|বৃত|বৃত্ত	false
রাত্রির	187	ratrir	র|রা|রাত|রাত্র|রাত্রি|রাত্রির	false
টুরিং	186	turing	ত|টু|টুর|তুড়ি|তুরিন|টুরিং	false
নৃত্যের	186	nrrityer	ন|নর|নর|নৃ|নৃত্য|নৃত্য|নৃত্যে|নৃত্যের	false
আমারি	186	amari	আ|আম|আমায়|আমার|আমারি	false
করিয়াও	186	koriyao	ক|কো|কর|করি|কোরীয়|কোরিয়া|কোরিয়াও	false
পরিবেশের	185	poribesher	প|পো|পর|পড়ি|পরিব|পরিবে|পরিবেশ|পরিবেশ|পরিবেশে|পরিবেশের	false
শৃঙ্খল	185	shrringkhol	সঃ|শ|শ্রয়|শ্র|শ্র্রি|শ্রকৃষ্ণ|shrring|শ্রকৃষ্ণ|শ্রকৃষ্ণ|শ্র্রিংখ|শৃঙ্খল	false
পৃষ্ঠায়	185	prrishthay	প|প্র|প্রর|প্র্রি|প্র্রিস|পৃষ্ঠ|পৃষ্ট|পৃষ্ঠ|পৃষ্ঠা|পৃষ্ঠায়	false
গৃহিণী	185	grrihinii	গ|গড়র|গর|গ্র্রি|গৃহ|গৃহী|গৃহিণী|গৃহিণী|গৃহিণী	false
তৃপ্ত	185	trript	ত|ত্রয়|ট্রয়র|ত্র্রি|ট্রিপ|তৃপ্ত	false
হৃদি	184	hrridi	হ|এচার|হরর|হ্র্রি|হৃদ|হৃদি	false
সরিষা	183	sorisha	সঃ|সো|সর|সরি|সরিস|সরিস|সরিষা	false
